#   wl        direct       diffuse (W/m^2/mic)
1.1750   217.9765930    19.7747211
1.1775   242.7834320    21.9568462
1.1800   271.3013916    24.4601669
1.1825   252.2547760    22.6652031
1.1850   276.7908020    24.7850761
1.1875   283.4079590    25.2958298
1.1900   275.0569763    24.4716949
1.1925   306.5931702    27.1856079
1.1950   288.6023254    25.5045528
1.1975   291.3488464    25.6612778
1.2000   267.1057434    23.4477005
1.2025   290.9871216    25.4637775
1.2050   272.7535400    23.7934513
1.2075   268.3695984    23.3339596
1.2100   281.2613220    24.3747540
1.2125   292.0401611    25.2262688
1.2150   270.2398071    23.2672462
1.2175   281.0496216    24.1236858
1.2200   291.6012878    24.9528275
1.2225   291.5283203    24.8664303
1.2250   290.1527100    24.6697941
1.2275   289.8174744    24.5585213
1.2300   290.3269043    24.5193596
1.2325   287.9820862    24.2443275
1.2350   287.0401917    24.0888615
1.2375   283.2026062    23.6921463
1.2400   283.2324219    23.6204872
1.2425   282.5867004    23.4852085
1.2450   280.5913696    23.2391453
1.2475   277.7330017    22.9234924
1.2500   276.4311829    22.7380428
1.2525   273.7621765    22.4455719
1.2550   270.7157593    22.1242104
1.2575   268.4955750    21.8722782
1.2600   262.1022034    21.2830505
1.2625   256.5253601    20.7567883
1.2650   250.0274658    20.1598835
1.2675   227.2062225    18.2586861
1.2700   240.4042511    19.2551441
1.2725   250.3165741    19.9759464
1.2750   251.2681274    19.9789791
1.2775   252.2025299    19.9805984
1.2800   247.8601837    19.5656910
1.2825   249.3686066    19.6204796
1.2850   245.0218201    19.2157898
1.2875   240.8391113    18.8202286
1.2900   234.5593872    18.2641430
1.2925   235.1117859    18.2390041
1.2950   231.1261749    17.8633347
1.2975   222.1328735    17.1047516
1.3000   223.3183594    17.1326523
1.3025   201.2083130    15.3641100
1.3050   205.0296173    15.5827751
1.3075   212.9724884    16.1137123
1.3100   184.4657593    13.8942871
1.3125   178.0432892    13.3460617
1.3150   178.9907379    13.3526831
1.3175   197.0888977    14.6423283
1.3200   158.4866333    11.7261353
1.3225   173.0359497    12.7394075
1.3250   198.9857941    14.5777388
1.3275   171.0877228    12.4807835
1.3300   111.1443405     8.0736303
1.3325   121.3936844     8.7734709
1.3350   139.3859253    10.0228662
1.3375   160.9131775    11.5124235
1.3400   126.5786591     9.0103245
1.3425    76.8198166     5.4482641
1.3450    56.6992188     4.0065527
1.3475    38.4286346     2.7009680
1.3500    13.1734743     0.9209527
1.3525     3.7529829     0.2612399
1.3550     1.3519672     0.0937038
1.3575     0.2074761     0.0143208
1.3600     0.9064346     0.0623087
1.3625     0.3093409     0.0211771
1.3650     0.0370497     0.0025260
1.3675     0.8610835     0.0584382
1.3700     0.2616420     0.0176752
1.3725     2.1482403     0.1444857
1.3750     9.1210480     0.6107680
1.3775     3.8649509     0.2577620
1.3800     0.1985492     0.0131884
1.3825     0.0284621     0.0018826
1.3850     3.2319188     0.2128835
1.3875     0.7644193     0.0501677
1.3900    10.8015957     0.7063154
1.3925     0.2911133     0.0189734
