#   wl        direct       diffuse (W/m^2/mic)
1.8900     1.7086535     0.0484225
1.8925     2.4704940     0.0697860
1.8950    30.6936188     0.8642299
1.8975    30.7255974     0.8624800
1.9000     0.1118431     0.0031299
1.9025     2.9385757     0.0820192
1.9050     0.2189492     0.0060952
1.9075     0.2179277     0.0060528
1.9100     1.6841483     0.0466680
1.9125     0.8377115     0.0231565
1.9150     0.8338681     0.0229942
1.9175     6.7899837     0.1868647
1.9200     0.1298257     0.0035658
1.9225     0.1292019     0.0035406
1.9250     4.5228243     0.1236641
1.9275     1.0937395     0.0298468
1.9300     1.0884861     0.0296456
1.9325     3.6563625     0.0993896
1.9350    16.0286369     0.4348580
1.9375    15.9492493     0.4319913
1.9400     2.3831153     0.0644423
1.9425    12.0482264     0.3252205
1.9450    11.9894829     0.3230633
1.9475    15.7315331     0.4234520
1.9500    21.1356907     0.5683255
1.9525    21.0293484     0.5647991
1.9550    10.1158590     0.2713678
1.9575    14.5296650     0.3894272
1.9600    14.4553795     0.3870926
1.9625    17.0442753     0.4561484
1.9650    26.1172695     0.6985487
1.9675    25.9815731     0.6938239
1.9700    33.6587830     0.8974283
1.9725    40.1342545     1.0693058
1.9750    39.9222717     1.0628881
1.9775    46.5733986     1.2392458
1.9800    46.3246422     1.2319149
1.9825    51.6915398     1.3723269
1.9850    50.8769569     1.3484371
1.9875    50.5963326     1.3398722
1.9900    50.1124420     1.3259444
1.9925    54.7608948     1.4475273
1.9950    54.4536018     1.4380176
1.9975    37.8396187     0.9980329
2.0000    37.8625526     0.9974082
2.0025    20.4789181     0.5388843
2.0050    12.8087339     0.3366840
2.0075    12.7533112     0.3349085
2.0100    30.3774071     0.7969753
2.0125    18.0469246     0.4729062
2.0150    17.9677544     0.4702629
2.0175    22.0844040     0.5773142
2.0200    21.9846573     0.5740178
2.0225    34.5863686     0.9019746
2.0250    48.6938210     1.2683805
2.0275    48.4707718     1.2605773
2.0300    55.9820518     1.4536384
2.0325    55.7282257     1.4451624
2.0350    61.8745232     1.6024704
2.0375    60.8209343     1.5731448
2.0400    60.5411263     1.5638983
2.0425    61.6446915     1.5905837
2.0450    58.3454323     1.5037374
2.0475    58.0784988     1.4947590
2.0500    43.8496399     1.1269755
2.0525    43.6347198     1.1197538
2.0550    37.4850731     0.9604809
2.0575    37.3030243     0.9547542
2.0600    46.4246521     1.1868994
2.0625    40.0329704     1.0223520
2.0650    39.8433037     1.0163921
2.0675    40.1001587     1.0216912
2.0700    39.9004364     1.0153618
2.0725    45.6135712     1.1591822
2.0750    49.9590263     1.2679151
2.0775    49.7063675     1.2601438
2.0800    56.6537094     1.4347402
2.0825    56.3698006     1.4258411
2.0850    53.5120544     1.3519452
2.0875    53.2410316     1.3436788
2.0900    55.6488762     1.4029647
2.0925    56.0227547     1.4103763
2.0950    55.7344627     1.4011221
2.0975    54.9925575     1.3805118
2.1000    54.9683418     1.3779529
2.1025    55.7140465     1.3950400
2.1050    55.7296524     1.3938332
2.1075    57.4410515     1.4348028
2.1100    55.8390350     1.3930383
2.1125    55.5994797     1.3851396
2.1150    54.9352837     1.3667003
2.1175    54.6917114     1.3587878
